gene_name,gene_id_x,transcript_id,biotype,gene_id_y,exon_coverage,CDS_coverage
PAMR1,ENSG00000149090,ENST00000278360,transcript,ENSG00000149090,32.01630916,32.04690238
TRMT44,ENSG00000155275,ENST00000389737,transcript,ENSG00000155275,32.15810796,32.04690844
TUBGCP5,ENSG00000153575,ENST00000283645,transcript,ENSG00000153575,31.98682485,32.04695051
DDX23,ENSG00000174243,ENST00000308025,transcript,ENSG00000174243,31.97510562,32.04706387
RNLS,ENSG00000184719,ENST00000331772,transcript,ENSG00000184719,31.90861051,32.04709427
DUS2,ENSG00000167264,ENST00000565263,transcript,ENSG00000167264,31.89573752,32.04712844
SPARCL1,ENSG00000152583,ENST00000418378,transcript,ENSG00000152583,32.19214365,32.04725271
IL12B,ENSG00000113302,ENST00000231228,transcript,ENSG00000113302,32.0288262,32.04728723
ABCC2,ENSG00000023839,ENST00000370449,transcript,ENSG00000023839,32.03847366,32.04732833
NMT2,ENSG00000152465,ENST00000378165,transcript,ENSG00000152465,31.75249564,32.04735415
KRBA1,ENSG00000133619,ENST00000255992,transcript,ENSG00000133619,32.05548255,32.04737401
NID2,ENSG00000087303,ENST00000216286,transcript,ENSG00000087303,32.09984302,32.04753334
CYFIP2,ENSG00000055163,ENST00000521420,transcript,ENSG00000055163,31.78587241,32.04787263
RPS3,ENSG00000149273,ENST00000278572,transcript,ENSG00000149273,32.03265812,32.04794503
BMPR1A,ENSG00000107779,ENST00000372037,transcript,ENSG00000107779,31.29123866,32.04834385
MACC1,ENSG00000183742,ENST00000400331,transcript,ENSG00000183742,32.17482003,32.0483895
HTR3B,ENSG00000149305,ENST00000260191,transcript,ENSG00000149305,31.92640578,32.04847193
RNF4,ENSG00000063978,ENST00000511600,transcript,ENSG00000063978,31.79461119,32.04874698
NUDT6,ENSG00000170917,ENST00000304430,transcript,ENSG00000170917,32.30782067,32.04882008
GPX8,ENSG00000164294,ENST00000503787,transcript,ENSG00000164294,32.24910683,32.04882333
VRK1,ENSG00000100749,ENST00000216639,transcript,ENSG00000100749,31.70407052,32.04886269
